param,shape,skipped,seed,n,m,k_used,svd_topk_err,rand_svd_subspace_err,random_AB_err,leverage_col_err,mag_col_err,mag_row_err,mag_best_err,topk_energy,fro_norm,params_svd_topk,params_random_AB,nnz_mag_col,nnz_mag_row,svd_ms,recon_ms,rand_sub_ms,rand_ab_ms,leverage_ms,mag_ms,top_singular_values
embeddings.word_embeddings.weight,30522x768,True,,,,,,,,,,,,,,,,,,,,,,,,
embeddings.position_embeddings.weight,512x768,,0.0,512.0,768.0,8.0,0.681184709072113,0.9991818070411682,1.413038730621338,0.9527333974838257,0.9527333974838257,0.968629002571106,0.9527333974838257,0.5359874963760376,10.076279640197754,10240.0,10240.0,4096.0,6144.0,81.00008964538574,0.9999275207519531,0.0,0.0,2.0003318786621094,1.9998550415039062,"3.150e+00,2.787e+00,2.761e+00,2.637e+00,2.469e+00,2.421e+00,2.383e+00,2.126e+00,2.086e+00,2.055e+00"
transformer.layer.0.attention.q_lin.weight,768x768,,0.0,768.0,768.0,8.0,0.9328415989875793,0.9983528852462769,1.413203239440918,0.9821343421936035,0.9821343421936035,0.9905457496643066,0.9821343421936035,0.1298065185546875,33.31097412109375,12288.0,12288.0,6144.0,6144.0,100.39401054382324,1.0004043579101562,0.9999275207519531,0.9999275207519531,1.0001659393310547,4.000186920166016,"5.354e+00,4.593e+00,4.258e+00,4.232e+00,3.935e+00,3.855e+00,3.741e+00,3.727e+00,3.642e+00,3.528e+00"
transformer.layer.0.attention.k_lin.weight,768x768,,0.0,768.0,768.0,8.0,0.9088085293769836,0.9963274002075195,1.4121986627578735,0.9767965078353882,0.9767965078353882,0.9882733225822449,0.9767965078353882,0.17406684160232544,33.16412353515625,12288.0,12288.0,6144.0,6144.0,101.94802284240723,0.0,0.0,0.99945068359375,0.9999275207519531,4.000186920166016,"6.735e+00,5.544e+00,4.961e+00,4.795e+00,4.475e+00,4.307e+00,3.895e+00,3.741e+00,3.686e+00,3.604e+00"
transformer.layer.0.attention.v_lin.weight,768x768,,0.0,768.0,768.0,8.0,0.9543241858482361,0.998494029045105,1.4141228199005127,0.9919384717941284,0.9919384717941284,0.9921581149101257,0.9919384717941284,0.08926527947187424,26.238975524902344,12288.0,12288.0,6144.0,6144.0,101.98760032653809,0.0,0.0,0.0,0.9996891021728516,3.999948501586914,"3.145e+00,3.024e+00,2.875e+00,2.745e+00,2.626e+00,2.590e+00,2.568e+00,2.534e+00,2.479e+00,2.452e+00"
transformer.layer.0.attention.out_lin.weight,768x768,,0.0,768.0,768.0,8.0,0.9439198970794678,0.9980603456497192,1.4172993898391724,0.9906763434410095,0.9906763434410095,0.9627159237861633,0.9627159237861633,0.10901506245136261,26.7408447265625,12288.0,12288.0,6144.0,6144.0,100.49772262573242,0.0,0.0,0.0,0.9996891021728516,5.000591278076172,"3.714e+00,3.435e+00,3.234e+00,3.018e+00,2.995e+00,2.951e+00,2.775e+00,2.723e+00,2.695e+00,2.692e+00"
transformer.layer.0.ffn.lin1.weight,3072x768,,0.0,3072.0,768.0,8.0,0.9455681443214417,0.9953837990760803,1.4146318435668945,0.9915720820426941,0.9915720820426941,0.9955450296401978,0.9915720820426941,0.10590112209320068,63.8724479675293,30720.0,30720.0,24576.0,6144.0,217.76461601257324,0.9992122650146484,0.9999275207519531,1.9965171813964844,2.000570297241211,18.00060272216797,"1.329e+01,8.574e+00,6.155e+00,5.868e+00,5.684e+00,5.355e+00,5.010e+00,4.834e+00,4.535e+00,4.287e+00"
transformer.layer.0.ffn.lin2.weight,768x3072,,0.0,768.0,3072.0,8.0,0.9547988772392273,0.9953593611717224,1.4134693145751953,0.9932606816291809,0.9932606816291809,0.97581946849823,0.97581946849823,0.08835916221141815,65.67253112792969,30720.0,30720.0,6144.0,24576.0,295.69506645202637,2.001047134399414,0.9989738464355469,3.9997100830078125,2.999544143676758,22.999286651611328,"1.059e+01,8.797e+00,6.308e+00,5.822e+00,5.630e+00,5.481e+00,5.356e+00,5.230e+00,5.116e+00,5.066e+00"
transformer.layer.1.attention.q_lin.weight,768x768,,0.0,768.0,768.0,8.0,0.8641708493232727,0.9967569708824158,1.4148675203323364,0.9843054413795471,0.9843054413795471,0.9832988381385803,0.9832988381385803,0.25320836901664734,43.34201431274414,12288.0,12288.0,6144.0,6144.0,100.76904296875,1.0027885437011719,0.9984970092773438,0.9989738464355469,0.9996891021728516,4.000425338745117,"1.014e+01,1.003e+01,7.806e+00,7.733e+00,6.348e+00,6.205e+00,6.105e+00,5.942e+00,5.625e+00,5.406e+00"
transformer.layer.1.attention.k_lin.weight,768x768,,0.0,768.0,768.0,8.0,0.8725298643112183,0.9864761233329773,1.413894772529602,0.9829785227775574,0.9829785227775574,0.9842610359191895,0.9829785227775574,0.23869195580482483,42.29692459106445,12288.0,12288.0,6144.0,6144.0,101.3176441192627,0.0,0.0,0.9987354278564453,1.0004043579101562,4.000186920166016,"9.283e+00,9.077e+00,7.213e+00,7.151e+00,6.746e+00,6.240e+00,5.995e+00,5.908e+00,5.846e+00,5.658e+00"
transformer.layer.1.attention.v_lin.weight,768x768,,0.0,768.0,768.0,8.0,0.9503433108329773,0.9965019226074219,1.4146612882614136,0.992120087146759,0.992120087146759,0.9922857284545898,0.992120087146759,0.0968475341796875,27.4847354888916,12288.0,12288.0,6144.0,6144.0,101.23944282531738,1.001596450805664,0.0,0.0,1.0006427764892578,3.999471664428711,"3.471e+00,3.275e+00,3.169e+00,2.940e+00,2.863e+00,2.840e+00,2.791e+00,2.766e+00,2.708e+00,2.686e+00"
transformer.layer.1.attention.out_lin.weight,768x768,,0.0,768.0,768.0,8.0,0.9501487016677856,0.9980918765068054,1.414813756942749,0.9908912181854248,0.9908912181854248,0.9778855443000793,0.9778855443000793,0.09721735864877701,27.213869094848633,12288.0,12288.0,6144.0,6144.0,102.61034965515137,1.0001659393310547,0.0,1.0006427764892578,0.9984970092773438,3.999948501586914,"3.571e+00,3.374e+00,3.171e+00,2.937e+00,2.819e+00,2.686e+00,2.666e+00,2.630e+00,2.596e+00,2.578e+00"
transformer.layer.1.ffn.lin1.weight,3072x768,,0.0,3072.0,768.0,8.0,0.9523136615753174,0.9967309236526489,1.4144814014434814,0.9912858009338379,0.9912858009338379,0.9935291409492493,0.9912858009338379,0.09309940785169601,68.65315246582031,30720.0,30720.0,24576.0,6144.0,218.22690963745117,1.001119613647461,0.9982585906982422,2.000093460083008,1.0001659393310547,16.00027084350586,"1.361e+01,7.093e+00,6.511e+00,6.055e+00,5.977e+00,5.660e+00,5.478e+00,5.143e+00,5.124e+00,4.972e+00"
transformer.layer.1.ffn.lin2.weight,768x3072,,0.0,768.0,3072.0,8.0,0.9540193676948547,0.9953433275222778,1.4144554138183594,0.9908523559570312,0.9908523559570312,0.9829505085945129,0.9829505085945129,0.08984680473804474,66.18749237060547,30720.0,30720.0,6144.0,24576.0,296.76008224487305,2.001523971557617,2.001047134399414,3.0002593994140625,4.00090217590332,23.000001907348633,"9.781e+00,7.805e+00,6.839e+00,6.580e+00,6.328e+00,6.188e+00,5.920e+00,5.794e+00,5.643e+00,5.610e+00"
transformer.layer.2.attention.q_lin.weight,768x768,,0.0,768.0,768.0,8.0,0.9488535523414612,0.9909707307815552,1.4153739213943481,0.988623321056366,0.988623321056366,0.9910724759101868,0.988623321056366,0.0996769368648529,36.4796257019043,12288.0,12288.0,6144.0,6144.0,101.52745246887207,0.99945068359375,1.0001659393310547,0.9999275207519531,0.99945068359375,5.000114440917969,"5.153e+00,4.333e+00,4.217e+00,4.161e+00,3.846e+00,3.667e+00,3.519e+00,3.405e+00,3.366e+00,3.326e+00"
transformer.layer.2.attention.k_lin.weight,768x768,,0.0,768.0,768.0,8.0,0.9394622445106506,0.9964795708656311,1.4155170917510986,0.9887815117835999,0.9887815117835999,0.9912155866622925,0.9887815117835999,0.11741114407777786,36.43428039550781,12288.0,12288.0,6144.0,6144.0,103.99961471557617,0.0,0.0,0.9989738464355469,0.9996891021728516,5.000114440917969,"5.273e+00,4.828e+00,4.629e+00,4.488e+00,4.061e+00,4.023e+00,3.937e+00,3.873e+00,3.669e+00,3.469e+00"
transformer.layer.2.attention.v_lin.weight,768x768,,0.0,768.0,768.0,8.0,0.9564162492752075,0.9976269602775574,1.41481351852417,0.9904897212982178,0.9904897212982178,0.9921998977661133,0.9904897212982178,0.08526819199323654,32.470054626464844,12288.0,12288.0,6144.0,6144.0,106.24980926513672,0.9982585906982422,1.0006427764892578,1.0006427764892578,1.9996166229248047,4.002094268798828,"3.565e+00,3.490e+00,3.426e+00,3.375e+00,3.328e+00,3.280e+00,3.194e+00,3.137e+00,3.135e+00,3.043e+00"
transformer.layer.2.attention.out_lin.weight,768x768,,0.0,768.0,768.0,8.0,0.9616451859474182,0.9949116706848145,1.414027214050293,0.9917441010475159,0.9917441010475159,0.9817115664482117,0.9817115664482117,0.07523848116397858,30.635343551635742,12288.0,12288.0,6144.0,6144.0,104.20465469360352,1.0001659393310547,0.0,0.0,1.0006427764892578,3.999471664428711,"3.312e+00,3.223e+00,3.025e+00,3.014e+00,2.877e+00,2.790e+00,2.756e+00,2.714e+00,2.674e+00,2.651e+00"
transformer.layer.2.ffn.lin1.weight,3072x768,,0.0,3072.0,768.0,8.0,0.9532322883605957,0.9979091286659241,1.4136639833450317,0.9913665652275085,0.9913665652275085,0.9919584393501282,0.9913665652275085,0.09134775400161743,70.79989624023438,30720.0,30720.0,24576.0,6144.0,215.45648574829102,0.0,1.0013580322265625,2.001523971557617,1.0004043579101562,16.99995994567871,"1.458e+01,6.823e+00,6.299e+00,6.144e+00,5.728e+00,5.599e+00,5.475e+00,5.210e+00,5.163e+00,5.092e+00"
transformer.layer.2.ffn.lin2.weight,768x3072,,0.0,768.0,3072.0,8.0,0.9466814994812012,0.9971147179603577,1.414137363433838,0.9819504022598267,0.9819504022598267,0.9755265712738037,0.9755265712738037,0.10379447042942047,68.84879302978516,30720.0,30720.0,6144.0,24576.0,294.47221755981445,1.0001659393310547,1.001596450805664,3.0012130737304688,3.000020980834961,23.999929428100586,"1.209e+01,1.046e+01,6.982e+00,6.420e+00,6.304e+00,6.067e+00,5.975e+00,5.840e+00,5.720e+00,5.566e+00"
transformer.layer.3.attention.q_lin.weight,768x768,,0.0,768.0,768.0,8.0,0.9426455497741699,0.9981489181518555,1.4148613214492798,0.9912283420562744,0.9912283420562744,0.9913574457168579,0.9912283420562744,0.11141904443502426,37.60700225830078,12288.0,12288.0,6144.0,6144.0,101.00913047790527,1.001596450805664,0.0,0.0,0.9982585906982422,5.000114440917969,"5.197e+00,5.150e+00,4.654e+00,4.160e+00,4.125e+00,4.089e+00,4.041e+00,3.877e+00,3.776e+00,3.726e+00"
transformer.layer.3.attention.k_lin.weight,768x768,,0.0,768.0,768.0,8.0,0.9192360639572144,0.9979945421218872,1.4136306047439575,0.9885100722312927,0.9885100722312927,0.9916962385177612,0.9885100722312927,0.15500514209270477,37.8895263671875,12288.0,12288.0,6144.0,6144.0,100.01635551452637,0.0,0.0,0.9996891021728516,0.9999275207519531,4.00090217590332,"5.902e+00,5.845e+00,5.310e+00,5.283e+00,5.248e+00,5.152e+00,5.088e+00,4.180e+00,4.106e+00,3.846e+00"
transformer.layer.3.attention.v_lin.weight,768x768,,0.0,768.0,768.0,8.0,0.9698528051376343,0.9977903366088867,1.413893461227417,0.9917508363723755,0.9917508363723755,0.9921128153800964,0.9917508363723755,0.05938538536429405,35.406192779541016,12288.0,12288.0,6144.0,6144.0,103.57403755187988,0.0,0.0,0.0,1.0006427764892578,3.9992332458496094,"3.218e+00,3.162e+00,3.071e+00,3.046e+00,3.020e+00,2.993e+00,2.964e+00,2.920e+00,2.890e+00,2.860e+00"
transformer.layer.3.attention.out_lin.weight,768x768,,0.0,768.0,768.0,8.0,0.9698788523674011,0.9966745376586914,1.4143798351287842,0.9927496314048767,0.9927496314048767,0.9857298135757446,0.9857298135757446,0.05933460593223572,33.624549865722656,12288.0,12288.0,6144.0,6144.0,102.40888595581055,0.0,0.0,0.9999275207519531,0.9996891021728516,4.002809524536133,"3.381e+00,2.976e+00,2.929e+00,2.827e+00,2.793e+00,2.750e+00,2.733e+00,2.718e+00,2.650e+00,2.627e+00"
transformer.layer.3.ffn.lin1.weight,3072x768,,0.0,3072.0,768.0,8.0,0.9515348076820374,0.993879497051239,1.4140962362289429,0.9922031164169312,0.9922031164169312,0.9948922991752625,0.9922031164169312,0.0945812314748764,66.50585174560547,30720.0,30720.0,24576.0,6144.0,219.99192237854004,1.0006427764892578,1.0006427764892578,1.9974708557128906,1.9996166229248047,17.000913619995117,"1.437e+01,6.037e+00,5.849e+00,5.663e+00,5.460e+00,5.253e+00,5.153e+00,5.012e+00,4.936e+00,4.831e+00"
transformer.layer.3.ffn.lin2.weight,768x3072,,0.0,768.0,3072.0,8.0,0.9632202386856079,0.9954828023910522,1.4141981601715088,0.9902983903884888,0.9902983903884888,0.9864338636398315,0.9864338636398315,0.07220689952373505,62.588096618652344,30720.0,30720.0,6144.0,24576.0,294.4929599761963,0.9963512420654297,1.0001659393310547,3.0002593994140625,3.9997100830078125,23.00095558166504,"7.923e+00,6.672e+00,6.029e+00,5.837e+00,5.445e+00,5.095e+00,5.010e+00,4.943e+00,4.863e+00,4.735e+00"
transformer.layer.4.attention.q_lin.weight,768x768,,0.0,768.0,768.0,8.0,0.9538153409957886,0.9952859282493591,1.4144657850265503,0.991831362247467,0.991831362247467,0.9933391809463501,0.991831362247467,0.09023579955101013,37.47383117675781,12288.0,12288.0,6144.0,6144.0,102.65851020812988,1.001119613647461,0.9987354278564453,0.9999275207519531,1.0004043579101562,4.999876022338867,"5.453e+00,4.037e+00,3.927e+00,3.737e+00,3.637e+00,3.610e+00,3.558e+00,3.518e+00,3.489e+00,3.470e+00"
transformer.layer.4.attention.k_lin.weight,768x768,,0.0,768.0,768.0,8.0,0.9509474039077759,0.9946364760398865,1.413978934288025,0.9866169095039368,0.9866169095039368,0.9934009909629822,0.9866169095039368,0.0956990122795105,37.57062530517578,12288.0,12288.0,6144.0,6144.0,105.08561134338379,0.0,0.0,0.0,0.9996891021728516,3.9997100830078125,"5.227e+00,4.393e+00,4.034e+00,3.961e+00,3.851e+00,3.793e+00,3.711e+00,3.676e+00,3.637e+00,3.593e+00"
transformer.layer.4.attention.v_lin.weight,768x768,,0.0,768.0,768.0,8.0,0.9692484736442566,0.9986010193824768,1.4133800268173218,0.9934224486351013,0.9934224486351013,0.9924846291542053,0.9924846291542053,0.06055738031864166,36.028038024902344,12288.0,12288.0,6144.0,6144.0,102.65517234802246,0.0,0.0,0.9996891021728516,0.99945068359375,3.9997100830078125,"3.471e+00,3.217e+00,3.151e+00,3.091e+00,3.078e+00,3.047e+00,3.014e+00,2.980e+00,2.949e+00,2.900e+00"
transformer.layer.4.attention.out_lin.weight,768x768,,0.0,768.0,768.0,8.0,0.9656580686569214,0.9953168034553528,1.4147694110870361,0.992565929889679,0.992565929889679,0.9864708185195923,0.9864708185195923,0.06750486046075821,34.18269348144531,12288.0,12288.0,6144.0,6144.0,104.05516624450684,0.0,0.0,0.0,0.9992122650146484,4.000186920166016,"4.006e+00,3.377e+00,3.160e+00,3.058e+00,2.932e+00,2.847e+00,2.793e+00,2.754e+00,2.707e+00,2.686e+00"
transformer.layer.4.ffn.lin1.weight,3072x768,,0.0,3072.0,768.0,8.0,0.9345932602882385,0.9966327548027039,1.4139631986618042,0.9930025935173035,0.9930025935173035,0.976643443107605,0.976643443107605,0.12653473019599915,65.41004943847656,30720.0,30720.0,24576.0,6144.0,220.35956382751465,1.0008811950683594,0.9999275207519531,2.000093460083008,1.9993782043457031,16.99995994567871,"1.527e+01,1.070e+01,6.669e+00,6.060e+00,5.642e+00,5.360e+00,5.147e+00,5.058e+00,4.979e+00,4.780e+00"
transformer.layer.4.ffn.lin2.weight,768x3072,,0.0,768.0,3072.0,8.0,0.9526464343070984,0.995612382888794,1.414305567741394,0.9783734679222107,0.9783734679222107,0.9630306959152222,0.9630306959152222,0.0924651175737381,64.60871887207031,30720.0,30720.0,6144.0,24576.0,292.15025901794434,2.000093460083008,2.0020008087158203,2.9990673065185547,2.9973983764648438,21.99864387512207,"1.292e+01,7.677e+00,6.342e+00,5.512e+00,5.319e+00,4.662e+00,4.514e+00,4.382e+00,4.191e+00,4.008e+00"
transformer.layer.5.attention.q_lin.weight,768x768,,0.0,768.0,768.0,8.0,0.9308130145072937,0.9989500045776367,1.4153932332992554,0.9797937870025635,0.9797937870025635,0.9935262799263,0.9797937870025635,0.13358676433563232,37.83164596557617,12288.0,12288.0,6144.0,6144.0,100.85391998291016,1.0001659393310547,0.9996891021728516,0.0,0.9992122650146484,4.000663757324219,"8.084e+00,4.918e+00,4.460e+00,4.329e+00,4.197e+00,4.088e+00,3.938e+00,3.632e+00,3.615e+00,3.508e+00"
transformer.layer.5.attention.k_lin.weight,768x768,,0.0,768.0,768.0,8.0,0.9482627511024475,0.9971538782119751,1.4129494428634644,0.9905835390090942,0.9905835390090942,0.9934771656990051,0.9905835390090942,0.10079767554998398,37.297119140625,12288.0,12288.0,6144.0,6144.0,100.18658638000488,0.0,0.0,0.0,1.0001659393310547,3.999471664428711,"5.753e+00,4.250e+00,4.152e+00,3.886e+00,3.857e+00,3.815e+00,3.725e+00,3.663e+00,3.562e+00,3.435e+00"
transformer.layer.5.attention.v_lin.weight,768x768,,0.0,768.0,768.0,8.0,0.9748870134353638,0.9917911887168884,1.4134629964828491,0.9929279088973999,0.9929279088973999,0.9931137561798096,0.9929279088973999,0.049595557153224945,36.9926872253418,12288.0,12288.0,6144.0,6144.0,101.43733024597168,0.0,0.0,0.99945068359375,1.0001659393310547,4.001140594482422,"3.036e+00,2.972e+00,2.929e+00,2.913e+00,2.885e+00,2.864e+00,2.862e+00,2.834e+00,2.830e+00,2.824e+00"
transformer.layer.5.attention.out_lin.weight,768x768,,0.0,768.0,768.0,8.0,0.9712560772895813,0.99875807762146,1.4133503437042236,0.9925962686538696,0.9925962686538696,0.989751935005188,0.989751935005188,0.05666185915470123,34.666404724121094,12288.0,12288.0,6144.0,6144.0,103.71041297912598,0.0,0.0,0.9999275207519531,0.9999275207519531,4.003047943115234,"3.979e+00,3.255e+00,3.065e+00,2.633e+00,2.540e+00,2.530e+00,2.504e+00,2.495e+00,2.487e+00,2.485e+00"
transformer.layer.5.ffn.lin1.weight,3072x768,,0.0,3072.0,768.0,8.0,0.9641073942184448,0.9929696917533875,1.4146453142166138,0.9931697845458984,0.9931697845458984,0.9964954853057861,0.9931697845458984,0.07049570232629776,60.42543029785156,30720.0,30720.0,24576.0,6144.0,216.7348861694336,0.9996891021728516,0.9999275207519531,1.9998550415039062,2.0003318786621094,16.999244689941406,"9.378e+00,5.481e+00,5.074e+00,5.010e+00,4.909e+00,4.718e+00,4.650e+00,4.538e+00,4.516e+00,4.438e+00"
transformer.layer.5.ffn.lin2.weight,768x3072,,0.0,768.0,3072.0,8.0,0.9766771793365479,0.9952857494354248,1.4138624668121338,0.9914605617523193,0.9914605617523193,0.9882689118385315,0.9882689118385315,0.04610208049416542,56.96945571899414,30720.0,30720.0,6144.0,24576.0,297.8355884552002,1.9993782043457031,1.9986629486083984,2.9973983764648438,3.000020980834961,23.000001907348633,"6.559e+00,4.547e+00,4.250e+00,3.878e+00,3.714e+00,3.656e+00,3.583e+00,3.582e+00,3.534e+00,3.531e+00"
